S-10B
S-23C Google 1 45.36585365853659 S:48, I:1, D:44
S-23C Kaldi 1 32.19512195121951 S:44, I:3, D:19
S-23C Google 2 42.13483146067416 S:40, I:7, D:28
S-23C Kaldi 2 34.26966292134831 S:27, I:16, D:18
S-23C Google 3 56.42201834862385 S:69, I:1, D:53
S-23C Kaldi 3 41.28440366972477 S:65, I:3, D:22
S-23C Google 4 45.43568464730291 S:95, I:1, D:123
S-23C Kaldi 4 27.178423236514522 S:82, I:3, D:46
S-23C Google 5 34.81228668941979 S:37, I:1, D:64
S-23C Kaldi 5 22.18430034129693 S:35, I:4, D:26
S-23C Google 6 34.883720930232556 S:3, I:0, D:12
S-23C Kaldi 6 18.6046511627907 S:5, I:0, D:3
S-23C Google 7 31.944444444444443 S:16, I:0, D:7
S-23C Kaldi 7 16.666666666666668 S:10, I:0, D:2
S-23C Google 8 37.5 S:15, I:1, D:17
S-23C Kaldi 8 31.818181818181817 S:17, I:3, D:8
S-23C Google 9 32.0 S:6, I:0, D:2
S-23C Kaldi 9 28.0 S:5, I:2, D:0
S-23C Google 10 62.5 S:13, I:0, D:17
S-23C Kaldi 10 29.166666666666668 S:13, I:0, D:1
S-23C Google 11 44.29530201342282 S:32, I:1, D:33
S-23C Kaldi 11 22.14765100671141 S:22, I:0, D:11
S-6B
S-6B Google 0 54.54545454545455 S:40, I:1, D:37
S-6B Kaldi 0 42.65734265734266 S:44, I:3, D:14
S-6B Google 1 42.99516908212561 S:46, I:1, D:42
S-6B Kaldi 1 31.884057971014492 S:45, I:6, D:15
S-6B Google 2 30.90277777777778 S:48, I:1, D:40
S-6B Kaldi 2 15.277777777777779 S:25, I:2, D:17
S-6B Google 3 40.90909090909091 S:42, I:0, D:39
S-6B Kaldi 3 24.242424242424242 S:30, I:6, D:12
S-6B Google 4 28.037383177570092 S:64, I:3, D:53
S-6B Kaldi 4 17.757009345794394 S:49, I:9, D:18
S-6B Google 5 27.66393442622951 S:65, I:6, D:64
S-6B Kaldi 5 10.860655737704919 S:28, I:6, D:19
S-5A
S-5A Google 0 53.28947368421053 S:104, I:1, D:138
S-5A Kaldi 0 35.74561403508772 S:111, I:14, D:38
S-5A Google 1 49.14529914529915 S:44, I:1, D:70
S-5A Kaldi 1 29.914529914529915 S:44, I:4, D:22
S-5A Google 2 44.03534609720177 S:138, I:6, D:155
S-5A Kaldi 2 29.160530191458026 S:115, I:20, D:63
S-5A Google 3 42.285714285714285 S:60, I:1, D:87
S-5A Kaldi 3 24.0 S:50, I:6, D:28
S-5A Google 4 41.28440366972477 S:56, I:1, D:78
S-5A Kaldi 4 22.629969418960243 S:44, I:4, D:26
S-5A Google 5 48.073022312373226 S:114, I:1, D:122
S-5A Kaldi 5 28.803245436105477 S:88, I:5, D:49
S-11C
S-11C Google 0 27.411167512690355 S:18, I:2, D:34
S-11C Kaldi 0 16.751269035532996 S:23, I:3, D:7
S-11C Google 1 41.509433962264154 S:19, I:0, D:47
S-11C Kaldi 1 23.270440251572328 S:28, I:0, D:9
S-11C Google 2 26.203208556149733 S:55, I:0, D:43
S-11C Kaldi 2 18.181818181818183 S:42, I:5, D:21
S-11C Google 3 26.6497461928934 S:37, I:0, D:68
S-11C Kaldi 3 19.289340101522843 S:44, I:3, D:29
S-11C Google 4 22.727272727272727 S:74, I:1, D:55
S-11C Kaldi 4 10.13986013986014 S:33, I:2, D:23
S-11C Google 5 22.286821705426355 S:60, I:2, D:53
S-11C Kaldi 5 11.24031007751938 S:31, I:7, D:20
S-11C Google 6 28.436018957345972 S:33, I:1, D:26
S-11C Kaldi 6 19.90521327014218 S:26, I:4, D:12
S-11C Google 7 25.968992248062015 S:36, I:1, D:30
S-11C Kaldi 7 12.4031007751938 S:19, I:0, D:13
S-11C Google 8 25.714285714285715 S:13, I:1, D:13
S-11C Kaldi 8 18.095238095238095 S:10, I:5, D:4
S-16D
S-16D Google 0 25.889967637540455 S:43, I:2, D:35
S-16D Kaldi 0 22.653721682847895 S:51, I:7, D:12
S-16D Google 1 21.936758893280633 S:45, I:1, D:65
S-16D Kaldi 1 18.972332015810277 S:61, I:8, D:27
S-16D Google 2 27.181208053691275 S:30, I:1, D:50
S-16D Kaldi 2 23.825503355704697 S:49, I:7, D:15
S-16D Google 3 21.25506072874494 S:45, I:2, D:58
S-16D Kaldi 3 15.991902834008098 S:48, I:12, D:19
S-16D Google 4 25.247524752475247 S:37, I:2, D:63
S-16D Kaldi 4 18.06930693069307 S:51, I:2, D:20
S-16D Google 5 24.414715719063544 S:27, I:1, D:45
S-16D Kaldi 5 22.74247491638796 S:51, I:7, D:10
S-16D Google 6 40.0 S:16, I:0, D:32
S-16D Kaldi 6 34.166666666666664 S:24, I:8, D:9
S-16D Google 7 31.03448275862069 S:6, I:1, D:11
